document_id,document_title,policy_category,document_type,file_name,source_url,version,date_accessed,source_path,file_size_bytes,last_modified,sha256,used_in_rag
DOC-06FC78006F48,University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,assessment_regulations,code_of_practice,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf","https://www.liverpool.ac.uk/media/livacuk/tqsd/code-of-practice-on-assessment/Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf",2025-26,27-07-2026,"C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf",196826,27-07-2026 00:33,06FC78006F48AB28387ED8C71316A3732745FCA36201EA9C91AE87272676D6E6,TRUE
DOC-28FFB7E6CF05,"University of Liverpool Diversity, Equality and Opportunity Policy",equality_diversity,policy,UOL_diversity-equality-opportunity-policy.pdf,https://www.liverpool.ac.uk/media/intranet/humanresources/2014/myhr/policiesandprocedures/diversity-equality-opportunity-policy.pdf,,27-07-2026,C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_diversity-equality-opportunity-policy.pdf,608335,29-06-2026 20:52,28FFB7E6CF056E943BAD3396749DB5BDA3383F5A9E59FB1DFD951EB50634EEA1,TRUE
DOC-FB88BFE8D306,University of Liverpool Extenuating Circumstances Policy,extenuating_circumstances,policy,UOL_extenuating_circumstances_policy.pdf,https://www.liverpool.ac.uk/media/livacuk/tqsd/code-of-practice-on-assessment/appendix_M_cop_assess.pdf,,27-07-2026,C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_extenuating_circumstances_policy.pdf,394102,29-06-2026 20:40,FB88BFE8D306127B2C8106C63F4E4A9057E3768161CB8DA8DA21002F55B23A1E,TRUE
DOC-3C3ABE2731D5,University of Liverpool Payment Policy 2026-27,fees_payments,policy,"UOL_payment_policy_2026,2027.pdf","https://www.liverpool.ac.uk/media/livacuk/payingstudentfees/documents/Payment,Policy,2026-27.pdf",2026-27,27-07-2026,"C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_payment_policy_2026,2027.pdf",354439,29-06-2026 20:50,3C3ABE2731D5D11A47221EA8572989CCDBD4DC992798E42FC41C584E53A59EDA,TRUE
DOC-17D9D4595925,University of Liverpool Postgraduate Handbook,general_handbook,handbook,UOL_postgraduate_handbook.pdf,"https://www.liverpool.ac.uk/media/livacuk/student-administration/student-administration-centre/documents/UoL,-,Your,University,2025,(Postgraduate,A5),Online.pdf",,27-07-2026,C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_postgraduate_handbook.pdf,5306938,29-06-2026 20:31,17D9D4595925FB56B7A76B9CEEABC1F8352264CED3A35F4DC6E7DA2DEF36F118,TRUE
DOC-EC58747E68C9,Student Complaints Policy and Procedure,complaints,policy_and_procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf","https://www.liverpool.ac.uk/media/livacuk/student-administration/student-administration-centre/documents/Student,Complaints,Policy,and,Procedure.pdf",,27-07-2026,"C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_Student,Complaints,Policy,and,Procedure.pdf",398094,27-07-2026 00:32,EC58747E68C9AF3BF9400B2A1153375C65FF996FAD53D07DE7864AE0874ECA92,TRUE
DOC-B79AEEC09831,Student Conduct Procedures — Appendix A,student_conduct,procedure,UOL_student_conduct1.pdf,"https://www.liverpool.ac.uk/media/livacuk/student-administration/sas/studentadministration/studentconductcomplaintsandcomplianceteam/Appendix,A,-,Student,Conduct,Procedures.pdf",,27-07-2026,C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_student_conduct1.pdf,415348,29-06-2026 20:44,B79AEEC0983146AF79B34038476B42E68D8EAAE780EF60D6A15BE865BDD1497D,TRUE
DOC-9DD0D5EC27A8,Student Conduct Breaches and Indicative Sanctions — Appendix B,student_conduct,appendix_or_annex,UOL_student_conduct2.pdf,"https://www.liverpool.ac.uk/media/livacuk/student-administration/sas/studentadministration/studentconductcomplaintsandcomplianceteam/Appendix,B,-,Student,Conduct,Breaches,and,Indicative,Sanctions.pdf",,27-07-2026,C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_student_conduct2.pdf,272351,29-06-2026 20:44,9DD0D5EC27A8B6FF76413D2B241D7BCE3E0D282228AEE9D30094055532FAFB95,TRUE
DOC-CE6ABF2D9F6D,Student Guide for UK Visa Holders 2026,student_visa,guidance,UOL_student_guide_visa_holders.pdf,"https://www.liverpool.ac.uk/media/livacuk/student-support/ist/pdfs/Student,Guide,for,UK,Visa,Holders,2026.pdf",2026,27-07-2026,C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_student_guide_visa_holders.pdf,2067903,30-06-2026 20:55,CE6ABF2D9F6D77A0288946B036C6055901E2E2ADE72EE471D87CC73618249793,TRUE
DOC-8B1BEC93779D,"Student Attendance Policy — Revised July 2025, Version 1.3",attendance_engagement,policy,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf","https://www.liverpool.ac.uk/media/livacuk/student-administration/sas/studentadministration/attendance/StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf",v1.3 (July 2025),27-07-2026,"C:\Users\ukcha\OneDrive\Documents\GitHub\RAG_enterprise_assistant\data\raw_documents\UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf",311575,27-07-2026 00:34,8B1BEC93779D966F44657A51ED87C01384DAB68BB1583535EB7109471FE28783,TRUE
